# 0:bincenter 1:Deltasigma_num 2:Sumwls 3:Sumwlsms 4:DeltaSigma 5:Sumwls_by_sumwl 6:rmin/2+rmax/2 7:DeltaSigma_cross 8:Sum_srcwt_per_lens 9:TotalSum_srcwt 10:SN_ErrDeltaSigma 11:SN_ErrDeltaSigma_cross 12:Jackknife_region 
-5.989700e-01 1.195668e+01 4.549824e-01 2.962331e-01 4.036240e+01 2.562848e-05 2.584893e-01 5.298167e+00 5.502845e+00 9.769200e+04 2.347121e+00 2.350516e+00 0
-3.989700e-01 2.166725e+01 1.110243e+00 7.290470e-01 2.971995e+01 6.253831e-05 4.096780e-01 6.367085e-01 1.345767e+01 2.389140e+05 1.479610e+00 1.466657e+00 0
-1.989700e-01 3.068238e+01 2.769364e+00 1.813272e+00 1.692100e+01 1.559941e-04 6.492958e-01 -7.243001e-01 3.354385e+01 5.955040e+05 9.323978e-01 9.326712e-01 0
1.029996e-03 4.986926e+01 6.899513e+00 4.502635e+00 1.107557e+01 3.886393e-04 1.029065e+00 5.987662e-01 8.365769e+01 1.485175e+06 5.891460e-01 5.903340e-01 0
2.010300e-01 7.633028e+01 1.721759e+01 1.123587e+01 6.793445e+00 9.698411e-04 1.630957e+00 -2.349764e-01 2.087806e+02 3.706482e+06 3.728687e-01 3.731546e-01 0
4.010300e-01 1.017357e+02 4.312415e+01 2.816734e+01 3.611832e+00 2.429119e-03 2.584893e+00 3.481303e-01 5.228959e+02 9.282971e+06 2.353890e-01 2.356209e-01 0
6.010300e-01 1.348878e+02 1.081732e+02 7.066865e+01 1.908736e+00 6.093235e-03 4.096780e+00 1.110142e-01 1.311073e+03 2.327547e+07 1.486174e-01 1.486275e-01 0
8.010300e-01 2.188866e+02 2.707322e+02 1.768800e+02 1.237487e+00 1.524994e-02 6.492958e+00 -7.355806e-03 3.280616e+03 5.824078e+07 9.390466e-02 9.393286e-02 0
1.001030e+00 3.147505e+02 6.761999e+02 4.417030e+02 7.125839e-01 3.808933e-02 1.029065e+01 1.409208e-02 8.188824e+03 1.453762e+08 5.944724e-02 5.944291e-02 0
1.201030e+00 5.587251e+02 1.683762e+03 1.099669e+03 5.080847e-01 9.484379e-02 1.630957e+01 -7.054897e-03 2.036901e+04 3.616110e+08 3.766405e-02 3.766946e-02 0
-5.989700e-01 1.189041e+01 4.535902e-01 2.954490e-01 4.024523e+01 2.560342e-05 2.584893e-01 5.491939e+00 5.500903e+00 9.745400e+04 2.348895e+00 2.352411e+00 1
-3.989700e-01 2.164598e+01 1.106155e+00 7.263793e-01 2.979983e+01 6.243819e-05 4.096780e-01 8.676227e-02 1.344542e+01 2.381990e+05 1.481523e+00 1.468663e+00 1
-1.989700e-01 3.058254e+01 2.760327e+00 1.806897e+00 1.692545e+01 1.558099e-04 6.492958e-01 -8.202698e-01 3.352100e+01 5.938580e+05 9.338392e-01 9.334978e-01 1
1.029996e-03 4.948415e+01 6.876504e+00 4.486889e+00 1.102861e+01 3.881522e-04 1.029065e+00 4.818469e-01 8.359805e+01 1.481023e+06 5.902411e-01 5.914065e-01 1
2.010300e-01 7.658102e+01 1.716891e+01 1.120187e+01 6.836449e+00 9.691191e-04 1.630957e+00 -2.067484e-01 2.087290e+02 3.697843e+06 3.734087e-01 3.737453e-01 1
4.010300e-01 1.004023e+02 4.299437e+01 2.808196e+01 3.575330e+00 2.426867e-03 2.584893e+00 3.266286e-01 5.227079e+02 9.260293e+06 2.357123e-01 2.359478e-01 1
6.010300e-01 1.349022e+02 1.078514e+02 7.044608e+01 1.914970e+00 6.087794e-03 4.096780e+00 1.125126e-01 1.310551e+03 2.321772e+07 1.488587e-01 1.488676e-01 1
8.010300e-01 2.136571e+02 2.699419e+02 1.763466e+02 1.211575e+00 1.523718e-02 6.492958e+00 6.548631e-03 3.279431e+03 5.809840e+07 9.404387e-02 9.407179e-02 1
1.001030e+00 3.088493e+02 6.741440e+02 4.403028e+02 7.014474e-01 3.805284e-02 1.029065e+01 1.623862e-02 8.185055e+03 1.450064e+08 5.954149e-02 5.953754e-02 1
1.201030e+00 5.475054e+02 1.678442e+03 1.096076e+03 4.995143e-01 9.474158e-02 1.630957e+01 -1.374121e-02 2.035800e+04 3.606623e+08 3.772563e-02 3.773088e-02 1
-5.989700e-01 1.187937e+01 4.537301e-01 2.954891e-01 4.020238e+01 2.559110e-05 2.584893e-01 5.172874e+00 5.494867e+00 9.742400e+04 2.350055e+00 2.353779e+00 2
-3.989700e-01 2.188516e+01 1.107337e+00 7.264128e-01 3.012772e+01 6.245553e-05 4.096780e-01 3.548949e-01 1.345133e+01 2.384920e+05 1.482971e+00 1.469152e+00 2
-1.989700e-01 3.077260e+01 2.762045e+00 1.807586e+00 1.702414e+01 1.557837e-04 6.492958e-01 -5.922699e-01 3.352521e+01 5.944020e+05 9.337417e-01 9.340975e-01 2
1.029996e-03 4.931588e+01 6.881981e+00 4.488722e+00 1.098662e+01 3.881546e-04 1.029065e+00 5.003618e-01 8.361280e+01 1.482455e+06 5.901906e-01 5.914265e-01 2
2.010300e-01 7.595334e+01 1.718033e+01 1.120829e+01 6.776535e+00 9.689977e-04 1.630957e+00 -2.206895e-01 2.087159e+02 3.700533e+06 3.733424e-01 3.735936e-01 2
4.010300e-01 1.011451e+02 4.302195e+01 2.809488e+01 3.600125e+00 2.426506e-03 2.584893e+00 3.417481e-01 5.226677e+02 9.266899e+06 2.356654e-01 2.359270e-01 2
6.010300e-01 1.336828e+02 1.079193e+02 7.047868e+01 1.896783e+00 6.086821e-03 4.096780e+00 9.458874e-02 1.310499e+03 2.323514e+07 1.488305e-01 1.488361e-01 2
8.010300e-01 2.169788e+02 2.700989e+02 1.764167e+02 1.229922e+00 1.523400e-02 6.492958e+00 1.128975e-03 3.279247e+03 5.814106e+07 9.402706e-02 9.405822e-02 2
1.001030e+00 3.162125e+02 6.746242e+02 4.405580e+02 7.177547e-01 3.804987e-02 1.029065e+01 1.896712e-02 8.185660e+03 1.451317e+08 5.952447e-02 5.952004e-02 2
1.201030e+00 5.483268e+02 1.679578e+03 1.096672e+03 4.999917e-01 9.473087e-02 1.630957e+01 -1.969063e-02 2.035824e+04 3.609516e+08 3.771536e-02 3.772138e-02 2
-5.989700e-01 1.187649e+01 4.544492e-01 2.957410e-01 4.015842e+01 2.561865e-05 2.584893e-01 5.218084e+00 5.501663e+00 9.759400e+04 2.350167e+00 2.352894e+00 3
-3.989700e-01 2.149827e+01 1.108361e+00 7.277060e-01 2.954252e+01 6.248157e-05 4.096780e-01 6.894155e-01 1.344529e+01 2.385060e+05 1.480192e+00 1.467843e+00 3
-1.989700e-01 3.050972e+01 2.765364e+00 1.809932e+00 1.685683e+01 1.558918e-04 6.492958e-01 -6.396060e-01 3.352748e+01 5.947440e+05 9.332620e-01 9.334241e-01 3
1.029996e-03 4.977647e+01 6.888659e+00 4.494476e+00 1.107503e+01 3.883341e-04 1.029065e+00 5.572904e-01 8.361086e+01 1.483173e+06 5.897212e-01 5.909559e-01 3
2.010300e-01 7.575845e+01 1.719540e+01 1.121761e+01 6.753532e+00 9.693558e-04 1.630957e+00 -1.288273e-01 2.086851e+02 3.701865e+06 3.731959e-01 3.734767e-01 3
